NAME                                                                              USED  AVAIL  REFER  MOUNTPOINT
StoragePool/MonitorScripts@autosnap_2017-07-28_20:10:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_00:01:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_00:01:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_00:02:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_00:02:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_00:03:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_00:03:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_00:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_00:06:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_00:12:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_00:12:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_05:01:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_05:04:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_05:08:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_05:10:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_05:13:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_05:14:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_10:01:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_10:05:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_10:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_10:08:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_10:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_15:01:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_15:02:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-29_15:09:01_hourly                     64K      -   160K  -
